"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16223722140","209104980","1098553","8309","469545","363923","4690","77.59",""
"2","","Grand Theft Auto V","11074670280","135325980","600590","6393","186339","248422","3035","81.84",""
"3","","League of Legends","8987191080","226019820","857475","9258","268051","201596","5069","39.76",""
"4","","Fortnite","7040576820","430878060","800137","20333","703686","157931","9665","16.34",""
"5","","Call of Duty: Warzone","5456146920","216987960","417014","9378","220122","122390","4867","25.14",""
"6","","Minecraft","5267066700","205141260","710031","9524","441025","118148","4601","25.68",""
"7","","VALORANT","5258729580","211862460","422893","8065","309748","117961","4752","24.82",""
"8","","Counter-Strike: Global Offensive","4342502160","97578000","480401","4413","170319","97409","2188","44.5",""
"9","","Apex Legends","3662608380","246493620","210153","9189","317439","82158","5529","14.86",""
"10","","Dota 2","2398713720","39577740","230592","1604","31292","53806","887","60.61",""
"11","","FIFA 21","2211717480","56583420","328568","5109","109564","49612","1269","39.09",""
"12","","World of Warcraft","2051899140","84394620","200606","5486","71429","46027","1893","24.31",""
"13","","Escape from Tarkov","1617800640","62682360","99563","2298","46062","36289","1406","25.81",""
"14","","Rocket League","1526663040","71530740","212909","3332","247798","34245","1604","21.34",""
"15","","Music","1489800780","60494700","193672","2908","57902","33418","1356","24.63",""
"16","","Dead by Daylight","1373820420","73332840","115771","3487","93299","30816","1644","18.73",""
"17","","Hearthstone","1340459640","11803260","99762","1009","15772","30068","264","113.57",""
"18","","Rust","1208283300","22519860","278066","1814","29571","27103","505","53.65",""
"19","","Tom Clancy's Rainbow Six Siege","1172574360","72760020","150241","3639","147485","26302","1632","16.12",""
"20","","Slots","1108740900","7029720","73142","273","4992","24870","157","157.72",""
"21","","Among Us","1035261240","18268980","697975","3031","70224","23222","409","56.67",""
"22","","PUBG: BATTLEGROUNDS","1029466500","38950620","155330","1424","40976","23092","873","26.43",""
"23","","Teamfight Tactics","1010374560","17115960","103154","655","32112","22664","383","59.03",""
"24","","Chess","1009158780","6639540","239207","321","15594","22637","148","151.99",""
"25","","Valheim","869677860","66657540","83665","3748","91766","19508","1495","13.05",""
"26","","Overwatch","829504380","51767340","44628","2067","88225","18607","1161","16.02",""
"27","","Call Of Duty: Modern Warfare","717927960","295495260","38007","12671","377183","16104","6628","2.43",""
"28","","Genshin Impact","685742820","34954260","109844","2402","60523","15382","784","19.62",""
"29","","Art","637778820","40559640","54437","1503","65007","14306","909","15.72",""
"30","","Garena Free Fire","614640000","20442120","71192","926","30520","13787","458","30.07",""
"31","","Sports","572520480","4987740","233176","347","10203","12842","111","114.79",""
"32","","Lost Ark","570877380","8356500","47422","544","6652","12805","187","68.32",""
"33","","Mario Kart 8","532956780","4269240","295999","349","12885","11955","95","124.84",""
"34","","Call of Duty: Black Ops Cold War","526624800","63987540","64918","4039","119084","11813","1435","8.23",""
"35","","Monster Hunter Rise","523876680","16366380","129540","3445","22503","11751","367","32.01",""
"36","","Talk Shows & Podcasts","484294620","11714640","102662","572","18796","10863","262","41.34",""
"37","","ASMR","471311820","6154200","29762","195","5087","10572","138","76.58",""
"38","","Ark: Survival Evolved","455663280","18517560","101646","885","26067","10221","415","24.61",""
"39","","Destiny 2","450933480","39221700","37292","1927","47769","10115","879","11.5",""
"40","","Poker","420709800","5793000","87484","404","5429","9437","129","72.62",""
"41","","Gartic Phone","407805480","6933180","220798","744","41339","9147","155","58.82",""
"42","","NBA 2K21","405054960","39725040","62625","1986","65326","9086","891","10.2",""
"43","","SMITE","401355900","15380640","30494","684","20396","9003","345","26.09",""
"44","","It Takes Two","387676320","4043100","164742","1064","11324","8696","90","95.89",""
"45","","Loop Hero","373163340","5766900","63285","483","12397","8370","129","64.71",""
"46","","Special Events","351745260","2139360","230465","449","4770","7890","47","164.42",""
"47","","Black Desert","344365680","12922800","52701","466","12043","7724","289","26.65",""
"48","","World of Tanks","337351980","10748160","30049","541","10659","7567","241","31.39",""
"49","","Path of Exile","326352060","9276540","36135","681","7425","7320","208","35.18",""
"50","","Sea of Thieves","318705600","23904720","49076","1308","39818","7149","536","13.33",""
"51","","Fall Guys","318388020","14385540","137700","1356","51277","7141","322","22.13",""
"52","","Magic: The Gathering","316481760","6034560","41709","260","8070","7099","135","52.44",""
"53","","DayZ","299172000","12592620","48052","530","14625","6710","282","23.76",""
"54","","Age of Empires II","276923340","2997900","73868","155","4074","6211","67","92.37",""
"55","","Old School RuneScape","270510180","8053980","36439","290","7597","6067","180","33.59",""
"56","","Tibia","260092860","11392200","19936","532","6930","5834","255","22.83",""
"57","","Phasmophobia","252444780","23695620","173802","1423","76392","5662","531","10.65",""
"58","","Eternal Return","251088480","6810000","33290","282","8901","5632","152","36.87",""
"59","","Super Mario 64","239933160","2934540","61903","195","5660","5382","65","81.76",""
"60","","Pokémon Sword/Shield","238561320","10304580","63094","422","14573","5351","231","23.15",""
"61","","StarCraft II","224168700","3819060","40880","149","4838","5028","85","58.7",""
"62","","Heroes of Might and Magic III: The Restoration of Erathia","222068760","1490340","20415","82","985","4981","33","149.01",""
"63","","Retro","220048800","10237140","29204","388","11409","4936","229","21.5",""
"64","","Little Nightmares II","216283380","6599220","103999","397","22752","4851","148","32.77",""
"65","","Satisfactory","204662280","4317840","51648","360","6481","4590","96","47.4",""
"66","","Super Smash Bros. Ultimate","199646760","9959220","48222","1731","19143","4478","223","20.05",""
"67","","Bloons TD 6","197594340","4844340","62370","397","14771","4432","108","40.79",""
"68","","Animal Crossing: New Horizons","193778520","7953780","16188","361","15316","4346","178","24.36",""
"69","","VRChat","193748700","6509940","33323","416","11455","4346","146","29.76",""
"70","","Brawlhalla","191220720","7027800","68464","314","23868","4289","157","27.21",""
"71","","Science & Technology","191219400","11781540","39757","400","10212","4289","264","16.23",""
"72","","GeoGuessr","189110640","3162780","148404","174","12076","4242","70","59.79",""
"73","","Final Fantasy XIV Online","183204960","20233800","32584","1361","22233","4109","453","9.05",""
"74","","Dark Souls III","182414460","9885240","29347","406","18464","4091","221","18.45",""
"75","","Dungeons & Dragons","179353200","6222720","81669","520","9645","4023","139","28.82",""
"76","","The Elder Scrolls Online","173790960","7114560","47667","320","8248","3898","159","24.43",""
"77","","Stardew Valley","172619100","14412120","92994","633","31660","3872","323","11.98",""
"78","","Hunt: Showdown","164435460","10665540","22558","717","12759","3688","239","15.42",""
"79","","League of Legends: Wild Rift","161470320","5008440","53707","1039","9765","3622","112","32.24",""
"80","","World of Warships","160314060","4592700","29823","231","4823","3596","103","34.91",""
"81","","Roblox","157635660","21633360","215333","1407","59445","3536","485","7.29",""
"82","","Legends of Runeterra","156362760","3111420","34060","312","5101","3507","69","50.25",""
"83","","Jackbox Party Packs","152708640","3741360","222802","382","15778","3425","83","40.82",""
"84","","Diablo II","149383080","4038000","27861","354","3466","3350","90","36.99",""
"85","","Pokémon Trading Card Game","148157760","4181760","52185","341","8979","3323","93","35.43",""
"86","","The Binding of Isaac: Repentance","147743880","3099300","90866","1014","8199","3314","69","47.67",""
"87","","Umamusume: Pretty Derby","146097540","1646280","39652","131","2044","3277","36","88.74",""
"88","","Football Manager 2021","145660260","2475000","25595","151","3080","3267","55","58.85",""
"89","","ALTF4","144678300","774720","59419","86","4523","3245","17","186.75",""
"90","","Food & Drink","144056700","2655300","149764","155","8062","3231","59","54.25",""
"91","","The Sims 4","140627760","6290220","167496","298","16715","3154","141","22.36",""
"92","","Street Fighter V","138002340","3961560","10239","163","6256","3095","88","34.84",""
"93","","Conqueror's Blade","135946260","2639580","37282","141","2830","3049","59","51.5",""
